student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,Result
195,Female,3.3,92.2,6.1,PhD,Yes,Yes,No,62.1,99.6,A,pass
251,Male,2.2,90.1,8.0,PhD,Yes,Yes,No,66.2,84.7,B,pass
265,Female,3.6,84.0,4.9,PhD,Yes,No,No,76.2,88.7,B,pass
328,Female,1.8,84.2,6.8,PhD,Yes,No,Yes,75.9,90.0,A,pass
331,Female,3.7,88.0,5.9,PhD,Yes,Yes,No,79.8,98.3,A,pass
333,Female,4.2,80.7,7.3,PhD,Yes,No,No,73.6,82.2,B,pass
364,Male,4.5,100.0,7.9,PhD,Yes,Yes,No,62.7,91.1,A,pass
416,Female,5.1,89.9,8.1,PhD,Yes,Yes,No,75.2,100.0,A,pass
428,Male,4.1,93.5,5.1,PhD,Yes,Yes,No,66.5,82.6,B,pass
430,Female,5.2,84.1,4.3,PhD,Yes,No,No,80.8,96.6,A,pass
431,Male,3.7,88.3,7.6,PhD,Yes,Yes,No,60.1,97.0,A,pass
453,Male,6.0,94.5,8.7,PhD,Yes,Yes,No,61.3,100.0,A,pass
459,Male,4.3,75.7,3.8,PhD,Yes,No,No,62.4,81.9,B,pass
482,Female,6.2,83.2,7.3,PhD,Yes,No,No,86.1,100.0,A,pass
506,Female,3.8,86.2,6.1,PhD,Yes,No,No,75.8,93.0,A,pass
566,Male,2.7,100.0,7.8,PhD,Yes,Yes,No,66.4,100.0,A,pass
577,Male,5.8,92.9,5.5,PhD,Yes,No,Yes,89.3,100.0,A,pass
620,Female,3.6,89.5,7.7,PhD,Yes,Yes,Yes,56.2,80.7,B,pass
629,Female,3.4,67.0,7.6,PhD,No,No,No,93.4,84.3,B,pass
670,Male,5.2,98.7,8.9,PhD,Yes,No,Yes,53.1,90.9,A,pass
696,Female,4.1,71.2,8.3,PhD,Yes,No,No,46.8,80.4,B,pass
721,Female,4.8,85.0,7.4,PhD,Yes,Yes,No,78.2,98.3,A,pass
782,Male,5.2,83.7,6.8,PhD,Yes,No,No,65.5,93.9,A,pass
806,Male,3.4,88.0,7.7,PhD,Yes,No,Yes,85.4,94.2,A,pass
815,Female,5.0,88.8,6.0,PhD,Yes,Yes,No,78.4,91.9,A,pass
830,Female,4.0,79.9,7.1,PhD,Yes,No,No,99.4,98.9,A,pass
940,Male,3.3,98.2,5.6,PhD,Yes,No,Yes,63.9,82.9,B,pass
1019,Female,4.3,100.0,8.1,PhD,Yes,Yes,No,84.8,97.3,A,pass
1038,Male,4.2,100.0,7.1,PhD,No,Yes,Yes,65.6,93.1,A,pass
1058,Male,5.3,79.7,8.3,PhD,Yes,No,No,75.5,89.0,B,pass
1079,Female,5.3,78.7,5.9,PhD,Yes,Yes,No,60.4,83.0,B,pass
1094,Female,6.2,87.6,5.9,PhD,Yes,No,No,75.4,92.7,A,pass
